model,env,noise,accuracy,date
models/gmm/sd_7p_js.npy,sliding_door,0.02,0.43,2023-03-14 17:43:51.579129
models/gmm/sd_7p_js.npy,sliding_door,0.03,0.38,2023-03-14 17:45:33.396327
models/gmm/sd_7p_js.npy,sliding_door,0.05,0.32,2023-03-14 17:46:34.701457
models/gmm/sd_7p.npy,sliding_door,0.0,0.55,2023-03-14 17:00:02.609903
models/gmm/sd_7p/n00_f.npy,sliding_door,0.0,0.0,2023-03-10 18:54:48.948152
models/gmm/sd_7p/n00_js.npy,sliding_door,0.0,0.16,2023-03-10 19:01:58.512330
models/gmm/sd_7p.npy,sliding_door,0.01,0.53,2023-03-14 16:59:59.398168
models/gmm/sd_7p/n01_js.npy,sliding_door,0.01,0.15,2023-03-10 19:03:20.288737
models/gmm/sd_7p.npy,sliding_door,0.02,0.54,2023-03-14 17:00:15.011767
models/gmm/sd_7p/n02_f.npy,sliding_door,0.02,0.0,2023-03-10 18:54:26.770147
models/gmm/sd_7p/n02_js.npy,sliding_door,0.02,0.15,2023-03-10 19:01:55.953805
models/gmm/sd_7p.npy,sliding_door,0.03,0.43,2023-03-14 17:01:53.623673
models/gmm/sd_7p/n03_f.npy,sliding_door,0.03,0.0,2023-03-10 18:53:10.523000
models/gmm/sd_7p/n03_js.npy,sliding_door,0.03,0.25,2023-03-10 19:01:57.971921
models/gmm/sd_7p.npy,sliding_door,0.05,0.24,2023-03-14 17:02:11.898575
models/gmm/sd_7p/n05_f.npy,sliding_door,0.05,0.0,2023-03-10 18:55:22.365495
models/gmm/sd_7p/n05_js.npy,sliding_door,0.05,0.13,2023-03-10 19:05:01.277872
models/gmm/sd_7p_t.npy,sliding_door,0.01,0.0,2023-03-14 17:26:31.131071
models/gmm/sd_7p_t.npy,sliding_door,0.02,0.01,2023-03-14 17:27:22.799944
models/gmm/sd_7p_t.npy,sliding_door,0.03,0.0,2023-03-14 17:30:03.381299
models/gmm/sd_7p_t.npy,sliding_door,0.05,0.0,2023-03-14 17:30:25.087560
